16, 200, PA4-G-Unknown-SampleReadingsTest.txt 0
  -40.28,   -48.75,   102.99
    5.59,    -8.63,    49.33
  -35.57,     5.98,    95.36
   53.19,   -23.56,    79.37
   42.82,   -58.45,    32.78
   12.69,     5.21,    28.20
   -3.99,   -29.19,   -80.97
   17.78,     5.50,   -43.57
   28.48,     3.80,  -102.49
   15.27,    -5.84,   -60.15
   33.18,    19.67,   -89.84
  -27.20,    18.06,   -84.87
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -51.29,   -46.29,   155.81
   -5.43,    -6.17,   102.15
  -46.59,     8.44,   148.18
   42.18,   -21.09,   132.19
   31.80,   -55.98,    85.60
    1.68,     7.67,    81.02
   -4.72,   -30.35,   -78.68
   16.77,     4.67,   -41.42
   27.30,     2.96,  -100.37
   14.34,    -6.73,   -57.96
   31.86,    18.91,   -87.77
  -28.47,    16.63,   -82.60
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -26.78,   -51.91,   111.36
   19.08,   -11.78,    57.69
  -22.08,     2.83,   103.73
   66.69,   -26.71,    87.74
   56.31,   -61.60,    41.14
   26.19,     2.06,    36.57
   -9.18,   -28.53,   -80.28
   12.66,     6.29,   -43.05
   23.21,     4.41,  -101.98
   10.12,    -5.10,   -59.58
   27.93,    20.32,   -89.39
  -32.43,    18.69,   -84.27
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -75.16,   -31.87,    84.07
  -29.30,     8.25,    30.40
  -70.46,    22.86,    76.44
   18.31,    -6.68,    60.45
    7.93,   -41.57,    13.85
  -22.19,    22.09,     9.28
  -11.35,   -28.05,   -78.85
   10.65,     6.82,   -41.75
   21.06,     4.78,  -100.70
    8.04,    -4.60,   -58.24
   25.85,    20.71,   -88.16
  -34.51,    19.22,   -82.89
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
